experiment,mouse_id,sample,treatment,PC1,PC2
EAE16,2,PBS_mouse no 6,PBS,2.3301030601475525,2.498460712890402
EAE16,3,PBS_mouse no 11,PBS,2.3055568591452844,1.234247996117289
EAE16,4,PBS_mouse no 16,PBS,2.3411932910902973,1.6654463777675101
EAE16,5,PBS_mouse no 21,PBS,1.6295346158661441,1.1094423605962689
EAE16,6,PBS_mouse no 26,PBS,2.5149375331177217,1.78422040472712
EAE16,7,PBS_mouse no 27,PBS,1.611550297970898,1.5899975793807208
EAE16,8,PBS_mouse no 36,PBS,3.238945009889697,1.7286553139683127
EAE16,1,SA IL-33_mouse no 3,SA IL-33,-6.3057291281809205,-2.493617895610068
EAE16,2,SA IL-33_mouse no 8,SA IL-33,-6.073569317276554,-0.15562441451758544
EAE16,3,SA IL-33_mouse no 9,SA IL-33,-6.145841173393902,-0.04685225453416571
EAE16,4,SA IL-33_mouse no 14,SA IL-33,-6.8946147569154395,0.39533329920821236
EAE16,5,SA IL-33_mouse no 24,SA IL-33,-3.8383984145299026,0.7439125901281547
EAE16,6,SA IL-33_mouse no 29,SA IL-33,-7.719441084599708,0.619380320778798
EAE16,7,SA IL-33_mouse no 34,SA IL-33,-3.238655448292463,0.8716887517123413
EAE16,1,FTY 720_mouse no 2,FTY 720,2.8886050057843216,-1.881297704442939
EAE16,2,FTY 720_mouse no 10,FTY 720,2.8199349618305005,-1.947757217789236
EAE16,3,FTY 720_mouse no 15,FTY 720,2.905563065086218,-1.5703371312609298
EAE16,4,FTY 720_mouse no 20,FTY 720,2.688537474020663,-1.1861124722486303
EAE16,5,FTY 720_mouse no 30,FTY 720,3.59796847084476,-0.21944091038111557
EAE16,6,FTY 720_mouse no 35,FTY 720,1.3918230980542472,-2.8411338536909283
EAE16,7,FTY 720_mouse no 39,FTY 720,3.236166943763054,-1.0277414804502467
EAE16,8,FTY 720_mouse no 40,FTY 720,2.6899900010840887,-1.5042069870796584
